Quadra;Bairro;Latitude;longitude;Espécie;nome comum;Hábito;PAP;Altura;Estado geral;;;
1;Centro;6959927;209803;Caesalpinia peltophoroides;Sibipiruna;Árvore;0.46;6.68;Bom;;;
1;Centro;6959902;209817;Handroanthus heptaphyllus;Ipê-roxo;Árvore;0.66;6.68;Bom;;;
2;Centro;6959790;209876;Cinnamomum zeylanicum;Canela-doce;Árvore;0.23;4.16;Bom;;;
2;Centro;6959803;209855;Lagerstroemia indica;Resedá;Árvore;0.46;4.16;Bom;;;
2;Centro;6959794;209794;Psidium guajava;Goiabeira;Árvore;0.21;5.1;Bom;;;
2;Centro;6959857;209781;Leucaena leucocephala;Leucena;Árvore;0.21;5.1;Bom;;;
2;Centro;6959804;209854;Lagerstroemia indica;Resedá ;Árvore;0.31;5.1;Bom;;;
2;Centro;6959806;209850;Lagerstroemia indica;Resedá;Árvore;0.32;5.1;Bom;;;
2;Centro;6959864;209789;Cinnamomum zeylanicum;Canela-doce;Árvore;0.33;5.1;Bom;;;
2;Centro;6959855;209908;Cinnamomum zeylanicum;Canela-doce;Árvore;0.49;5.1;Bom;;;
2;Centro;6959791;209870;Cinnamomum zeylanicum;Canela-doce;Árvore;0.52;5.1;Bom;;;
2;Centro;6959867;209892;Cinnamomum zeylanicum;Canela-doce;Árvore;1.2;5.1;Bom;;;
2;Centro;6959797;209909;sp1;não identificada;Árvore;0.78;5.85;Bom;;;
2;Centro;6959786;209833;Cinnamomum zeylanicum;Canela-doce;Árvore;0.26;5.86;Bom;;;
2;Centro;6959826;209816;Cassia fistula;Acacia;Árvore;0.52;5.87;Bom;;;
2;Centro;6959822;209815;Ligustrum lucidum ;Legusto;Árvore;0.45;5.95;Regular;;;
2;Centro;6959801;209859;Lagerstroemia indica;Resedá ;Árvore;0.22;6.68;Bom;;;
2;Centro;6959867;209795;Cinnamomum zeylanicum;Canela-doce;Árvore;1.33;6.8;Bom;;;
2;Centro;6959830;209810;Cinnamomum zeylanicum;Canela-doce;Árvore;1.73;6.8;Bom;;;
2;Centro;6959839;209794;Caesalpinia peltophoroides;Sibipiruna;Árvore;1.67;8.5;Bom;;;
2;Centro;6959892;209830;Ligustrum lucidum ;Legusto;Árvore;2.1;8.5;Regular;;;
3;Centro;6959754;209925;Micelia campaca;Magnólia-Amarela;Árvore;0.2;3.4;Bom;;;
3;Centro;6959820;209931;Micelia campaca;Magnólia-Amarela;Árvore;0.95;4.2;Bom;;;
3;Centro;6959771;209902;Micelia campaca;Magnólia-Amarela;Árvore;0.33;5.1;Bom;;;
3;Centro;6959769;209905;Micelia campaca;Magnólia-Amarela;Árvore;0.42;5.1;Bom;;;
3;Centro;6959764;209909;Micelia campaca;Magnólia-Amarela;Árvore;0.45;5.1;Bom;;;
3;Centro;6959763;209912;Micelia campaca;Magnólia-Amarela;Árvore;0.48;5.1;Bom;;;
3;Centro;6959751;209929;Micelia campaca;Magnólia-Amarela;Árvore;0.49;5.1;Bom;;;
3;Centro;6959808;209984;Ligustrum lucidum ;Legusto;Árvore;1.57;6.8;Regular;;;
4;Centro;6959677;210052;Handroanthus chrysotrichus;Ipê;Árvore;0.14;2.5;Bom;;;
4;Centro;6959708;210079;Cordia trichotoma ;Louro-brejó;Árvore;0.21;2.8;Bom;;;
